field_id,field_label_zh,entity_type,target_path,required_for_pilot,criticality,source_category,preferred_source_id,alternative_source_ids,extraction_method,source_unit,canonical_unit,evidence_requirement,confidence_threshold,review_required,conflict_policy,missing_policy,default_allowed,affected_node_ids,business_definition,current_availability,gap_id,notes
"segment.steel_grade","钢级","SEGMENT","segments.*.steel_grade","false","HIGH","ASSET_AND_HCA_REGISTER","SRC-JJ-001","","DETERMINISTIC_TABLE","","","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","钢管材料牌号/钢级，保留原始标准写法","AVAILABLE_UNVERIFIED_STAGED","GAP-P0-SECURE-CUSTODY","现有九江映射的segment输出曾使用material_grade；快照必须按合同target_path复核"
"segment.commissioning_year","投产年份","SEGMENT","segments.*.commissioning_year","false","MEDIUM","ASSET_AND_HCA_REGISTER","","SRC-JJ-001","MANUAL_ONLY","year","year","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","管段首次投入运行的年份","MISSING","GAP-P2-WALL-COMMISSIONING","字段字典只有投产年份，没有投运日期专用field_id"
"pipeline.operating_pressure_mpa","运行压力","PIPELINE","pipeline.operating_pressure_mpa","false","HIGH","OPERATING_CONDITIONS","SRC-REQ-001","SRC-JJ-001","DETERMINISTIC_TABLE","MPa_g_or_MPa_abs_declared","MPa","DOCUMENT_CELL_TIME_WINDOW_AND_PRESSURE_BASIS_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","indicator_coverage|adaptive_evidence_qra|aqt3046_source_term|gbt34346_annex_c|human_qra|risk_matrix","经批准统计口径得到的运行压力标量，必须声明表压或绝压","MISSING_CANONICAL_VALUE","GAP-P2-OPERATING-CONDITIONS","现有3.0至3.8 MPa范围不得折成单值"
"engineering_indicator.operation_medium.minimum_operating_pressure_mpa","历史最低运行压力","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.operation_medium.minimum_operating_pressure_mpa","false","MEDIUM","OPERATING_CONDITIONS","SRC-JJ-001","SRC-REQ-001","DETERMINISTIC_TABLE","MPa_g_or_MPa_abs_declared","MPa","DOCUMENT_CELL_TIME_WINDOW_AND_PRESSURE_BASIS_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","指定统计期内历史最低运行压力","MAPPING_REQUIRED","GAP-P2-OPERATING-CONDITIONS","范围下限可形成候选，但现有映射未写入该field_id且压力基准未知"
"engineering_indicator.operation_medium.maximum_operating_pressure_mpa","历史最高运行压力","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.operation_medium.maximum_operating_pressure_mpa","false","MEDIUM","OPERATING_CONDITIONS","SRC-JJ-001","SRC-REQ-001","DETERMINISTIC_TABLE","MPa_g_or_MPa_abs_declared","MPa","DOCUMENT_CELL_TIME_WINDOW_AND_PRESSURE_BASIS_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","指定统计期内历史最高运行压力","MAPPING_REQUIRED","GAP-P2-OPERATING-CONDITIONS","范围上限可形成候选，但现有映射未写入该field_id且压力基准未知"
"pipeline.operating_temperature_k","运行温度","PIPELINE","pipeline.operating_temperature_k","false","HIGH","OPERATING_CONDITIONS","SRC-REQ-001","","DETERMINISTIC_TABLE","degC_or_K_declared","K","DOCUMENT_CELL_AND_TIME_WINDOW_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","indicator_coverage|adaptive_evidence_qra|aqt3046_source_term|gbt34346_annex_c|human_qra|risk_matrix","经批准统计口径的运行温度，摄氏度转换必须留痕","MISSING","GAP-P2-OPERATING-CONDITIONS","不得使用环境温度或默认温度代替"
"pipeline.gas_composition_mole_fraction","气体摩尔组分","PIPELINE","pipeline.gas_composition_mole_fraction","false","HIGH","OPERATING_CONDITIONS","SRC-REQ-001","","DETERMINISTIC_TABLE","fraction_or_percent_declared","fraction","DOCUMENT_CELL_LAB_REPORT_AND_SUM_CHECK_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","indicator_coverage|adaptive_evidence_qra|human_qra|risk_matrix","气质报告中的组分摩尔分数，必须校验百分比口径和合计","MISSING","GAP-P2-OPERATING-CONDITIONS","百分比没有单位或列头时不得映射"
"standard_formula_test_parameters.aqt3046_physical_chain.molar_mass_kg_mol","气体摩尔质量","PROJECT","standard_formula_test_parameters.aqt3046_physical_chain.molar_mass_kg_mol","false","DEFERRED_FULL_QRA","APPROVED_PARAMETER_LIBRARY","","SRC-REQ-001|SRC-STD-002","MANUAL_ONLY","kg/mol","kg/mol","APPROVAL_RECORD_SOURCE_CLAUSE_OR_LAB_EVIDENCE_REQUIRED","1.00","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","aqt3046_source_term|human_qra","项目气体摩尔质量，来自气质计算或批准参数库","MISSING_APPROVED_VALUE","GAP-P1-APPROVED-PARAMETERS","不得采用合成测试值"
"standard_formula_test_parameters.aqt3046_physical_chain.gamma","气体绝热指数","PROJECT","standard_formula_test_parameters.aqt3046_physical_chain.gamma","false","DEFERRED_FULL_QRA","APPROVED_PARAMETER_LIBRARY","","SRC-REQ-001|SRC-STD-002","MANUAL_ONLY","dimensionless","","APPROVAL_RECORD_SOURCE_CLAUSE_OR_LAB_EVIDENCE_REQUIRED","1.00","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","aqt3046_source_term|human_qra","适用温压下气体绝热指数","MISSING_APPROVED_VALUE","GAP-P1-APPROVED-PARAMETERS","不得采用测试模型默认值"
"standard_formula_test_parameters.aqt3046_physical_chain.ambient_pressure_pa_abs","环境绝对压力","SEGMENT","standard_formula_test_parameters.aqt3046_physical_chain.ambient_pressure_pa_abs","false","DEFERRED_FULL_QRA","APPROVED_PARAMETER_LIBRARY","","SRC-STD-002","MANUAL_ONLY","Pa_abs","Pa","APPROVAL_RECORD_LOCATION_AND_ABSOLUTE_BASIS_REQUIRED","1.00","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","aqt3046_source_term|human_qra","评价地点环境绝对压力，禁止填入表压或无基准压力","MISSING_APPROVED_VALUE","GAP-P1-APPROVED-PARAMETERS","绝压要求必须显式"
"engineering_indicator.external_corrosion.cp_on_potential_v","通电电位","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.external_corrosion.cp_on_potential_v","false","MEDIUM","EXTERNAL_CORROSION_CIPS","SRC-REQ-002","","DETERMINISTIC_TABLE","V_or_mV_declared","V","DOCUMENT_CELL_DATE_REFERENCE_ELECTRODE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","CIPS或阴保测试通电电位，必须记录参比电极","MISSING","GAP-P2-CIPS","单位换算和参比电极为证据的一部分"
"engineering_indicator.external_corrosion.cp_off_potential_v","断电电位","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.external_corrosion.cp_off_potential_v","false","MEDIUM","EXTERNAL_CORROSION_CIPS","SRC-REQ-002","","DETERMINISTIC_TABLE","V_or_mV_declared","V","DOCUMENT_CELL_DATE_REFERENCE_ELECTRODE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","CIPS瞬时断电电位，必须记录参比电极和断电方法","MISSING","GAP-P2-CIPS","不得与通电电位混用"
"engineering_indicator.external_corrosion.cp_out_of_range_fraction","保护电位超限比例","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.external_corrosion.cp_out_of_range_fraction","false","HIGH","EXTERNAL_CORROSION_CIPS","SRC-REQ-002","","DETERMINISTIC_TABLE","percent_or_fraction_declared","fraction","DOCUMENT_RANGE_FORMULA_AND_THRESHOLD_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","按批准上下限和有效测点计算的超限测点比例","MISSING","GAP-P2-CIPS","百分比必须有明确单位或列头"
"engineering_indicator.inspection_integrity.latest_ili_date","最近内检测日期","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.latest_ili_date","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","date","","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","最近一次内检测日期；不能替代CIPS检测日期","MISSING","GAP-P2-DEFECT-REPAIR","CIPS检测日期没有专用field_id，另列合同缺口"
"engineering_indicator.inspection_integrity.external_corrosion_anomaly_count","外腐蚀异常数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.external_corrosion_anomaly_count","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_FILTER_AND_CELL_RANGE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","当前管段外腐蚀异常记录数量","MISSING","GAP-P2-DEFECT-REPAIR","计数筛选口径必须可复算"
"engineering_indicator.inspection_integrity.internal_corrosion_anomaly_count","内腐蚀异常数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.internal_corrosion_anomaly_count","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_FILTER_AND_CELL_RANGE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","当前管段内腐蚀异常记录数量","MISSING","GAP-P2-DEFECT-REPAIR","不得把空表解释为零缺陷"
"engineering_indicator.inspection_integrity.crack_count","裂纹数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.crack_count","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_FILTER_AND_CELL_RANGE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","当前管段裂纹类异常数量","MISSING","GAP-P2-DEFECT-REPAIR","不得把缺失记录填0"
"engineering_indicator.inspection_integrity.dent_count","凹陷数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.dent_count","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_FILTER_AND_CELL_RANGE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","当前管段凹陷类异常数量","MISSING","GAP-P2-DEFECT-REPAIR","不得把缺失记录填0"
"engineering_indicator.inspection_integrity.maximum_corrosion_depth_ratio","最大腐蚀深度比","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.maximum_corrosion_depth_ratio","false","HIGH","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","percent_or_fraction_declared","fraction","DOCUMENT_CELL_FORMULA_AND_WALL_THICKNESS_EVIDENCE_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","最大金属损失深度与适用壁厚之比","MISSING","GAP-P2-DEFECT-REPAIR","百分比口径和壁厚基准必须明确"
"engineering_indicator.inspection_integrity.maximum_corrosion_length_mm","最大腐蚀轴向长度","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.maximum_corrosion_length_mm","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","mm","mm","DOCUMENT_AND_CELL_LOCATION_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","当前管段腐蚀异常最大轴向长度","MISSING","GAP-P2-DEFECT-REPAIR","与深度比证据分开保留"
"engineering_indicator.inspection_integrity.unrepaired_critical_anomaly_count","未修复临界缺陷数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.unrepaired_critical_anomaly_count","false","HIGH","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_CRITICALITY_RULE_AND_REPAIR_STATUS_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","依据批准临界判据且未关闭维修的异常数量","MISSING","GAP-P2-DEFECT-REPAIR","逐缺陷维修状态无专用field_id，必须保留原始证据"
"engineering_indicator.inspection_integrity.repair_count","历史修复数量","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.inspection_integrity.repair_count","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","count","count","DOCUMENT_FILTER_AND_CLOSURE_EVIDENCE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","有关闭证据的历史修复记录数量","MISSING","GAP-P2-DEFECT-REPAIR","修复计划不等于已完成修复"
"engineering_indicator.management_emergency.maintenance_completion_fraction","维护计划完成率","ENGINEERING_INDICATOR","engineering_indicators.observations_by_segment.*.management_emergency.maintenance_completion_fraction","false","MEDIUM","DEFECT_AND_REPAIR","SRC-REQ-003","","DETERMINISTIC_TABLE","percent_or_fraction_declared","fraction","DOCUMENT_FORMULA_PERIOD_AND_CELL_RANGE_REQUIRED","0.90","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|risk_matrix","指定统计期已完成维护任务占计划任务比例","MISSING","GAP-P2-DEFECT-REPAIR","百分比必须声明分母和统计期"
"segment.upstream_valve_km","上游隔离阀里程","SEGMENT","segments.*.upstream_valve_km","false","DEFERRED_FULL_QRA","ASSET_AND_HCA_REGISTER","","SRC-JJ-001","MANUAL_ONLY","km","km","DOCUMENT_DRAWING_AND_LOCATION_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","aqt3046_source_term|human_qra","控制当前管段释放库存的上游隔离阀累计里程","MISSING","GAP-P2-WALL-COMMISSIONING","不得使用估计阀距"
"segment.downstream_valve_km","下游隔离阀里程","SEGMENT","segments.*.downstream_valve_km","false","DEFERRED_FULL_QRA","ASSET_AND_HCA_REGISTER","","SRC-JJ-001","MANUAL_ONLY","km","km","DOCUMENT_DRAWING_AND_LOCATION_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","aqt3046_source_term|human_qra","控制当前管段释放库存的下游隔离阀累计里程","MISSING","GAP-P2-WALL-COMMISSIONING","不得使用估计阀距"
"population_cell.receptor_type","受体类型","POPULATION_CELL","population_cells.*.receptor_type","false","MEDIUM","POPULATION_AND_RECEPTORS","SRC-REQ-004","SRC-JJ-001","MANUAL_ONLY","","","DOCUMENT_ROW_OR_PAGE_AND_SPATIAL_LINK_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","RECORD_GAP_REDUCE_CONFIDENCE","false","indicator_coverage|adaptive_evidence_qra|human_qra|risk_matrix","学校、居民、工业、交通等受体类别，必须与空间位置绑定","MISSING_RECORD_STRUCTURE","GAP-P2-POPULATION","HCA汇总文字不能直接生成population_cells"
"population_cell.xy_m","受体坐标","POPULATION_CELL","population_cells.*.xy_m","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","","MANUAL_ONLY","declared_coordinate","m","DOCUMENT_ROW_AND_COORDINATE_SYSTEM_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","human_qra","受体网格或点的平面坐标，必须声明坐标系","MISSING","GAP-P2-POPULATION","缺坐标系时禁止映射；与管线距离应由同一坐标系确定性计算"
"population_cell.population_day","昼间人口","POPULATION_CELL","population_cells.*.population_day","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","SRC-JJ-001","MANUAL_ONLY","person","person","DOCUMENT_ROW_PERIOD_AND_COUNT_BASIS_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","adaptive_evidence_qra|human_qra|risk_matrix","指定受体单元的昼间暴露人口","MISSING","GAP-P2-POPULATION","汇总流动人口不得擅自分配到受体单元"
"population_cell.population_night","夜间人口","POPULATION_CELL","population_cells.*.population_night","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","SRC-JJ-001","MANUAL_ONLY","person","person","DOCUMENT_ROW_PERIOD_AND_COUNT_BASIS_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","adaptive_evidence_qra|human_qra|risk_matrix","指定受体单元的夜间暴露人口","MISSING","GAP-P2-POPULATION","不得把昼间人口复制为夜间人口"
"population_cell.outdoor_fraction_day","昼间室外人口比例","POPULATION_CELL","population_cells.*.outdoor_fraction_day","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","","MANUAL_ONLY","percent_or_fraction_declared","fraction","APPROVAL_RECORD_METHOD_AND_ROW_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","human_qra","昼间人口中位于室外的比例","MISSING","GAP-P2-POPULATION","不得使用未批准经验默认值"
"population_cell.outdoor_fraction_night","夜间室外人口比例","POPULATION_CELL","population_cells.*.outdoor_fraction_night","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","","MANUAL_ONLY","percent_or_fraction_declared","fraction","APPROVAL_RECORD_METHOD_AND_ROW_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","human_qra","夜间人口中位于室外的比例","MISSING","GAP-P2-POPULATION","不得沿用昼间比例"
"engineering_indicator.population_receptors.building_overpressure_resistance_kpa","建筑抗超压能力","ENGINEERING_INDICATOR","engineering_indicators.observations_global.population_receptors.building_overpressure_resistance_kpa","false","DEFERRED_FULL_QRA","POPULATION_AND_RECEPTORS","SRC-REQ-004","","MANUAL_ONLY","kPa","kPa","DOCUMENT_BUILDING_CLASS_AND_APPROVAL_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","indicator_coverage|human_qra","受体建筑类型对应的抗超压能力","MISSING","GAP-P2-POPULATION","室内外/建筑属性无通用专用field_id，另列合同缺口"
"frequency_library.base_frequency_by_mechanism","分机理基准频率","PROJECT","frequency_library.base_frequency_by_mechanism","false","DEFERRED_FULL_QRA","APPROVED_PARAMETER_LIBRARY","","SRC-STD-001","MANUAL_ONLY","per_km_year","per_km_year","VERSIONED_LIBRARY_SOURCE_CLAUSE_AND_APPROVAL_REQUIRED","1.00","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","failure_frequency|human_qra","按失效机理组织的基准频率及适用范围","MISSING_APPROVED_VALUE","GAP-P1-APPROVED-PARAMETERS","字段字典无独立库版本field_id，版本必须随证据记录"
"frequency_library.loc_fraction_by_mechanism","分机理孔径比例","PROJECT","frequency_library.loc_fraction_by_mechanism","false","DEFERRED_FULL_QRA","APPROVED_PARAMETER_LIBRARY","","SRC-STD-001","MANUAL_ONLY","fraction","","VERSIONED_LIBRARY_SOURCE_CLAUSE_AND_SUM_CHECK_REQUIRED","1.00","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","failure_frequency|human_qra","各失效机理按孔径等级分配的比例，必须校验合计","MISSING_APPROVED_VALUE","GAP-P1-APPROVED-PARAMETERS","不得采用合成案例比例"
"weather_case.probability","气象联合概率","WEATHER_CASE","weather_joint_probability.*.probability","false","DEFERRED_FULL_QRA","WEATHER_JOINT_PROBABILITY","","","MANUAL_ONLY","fraction_or_percent_declared","","DATASET_PERIOD_METHOD_AND_SUM_CHECK_REQUIRED","0.95","true","BLOCK_AND_MANUAL_REVIEW","BLOCK_AFFECTED_FULL_QRA_NODE","false","human_qra","风速、稳定度、风向和昼夜条件的联合概率","MISSING","GAP-P2-WEATHER","概率必须有统计期且组合合计为1"
