field_id,business_name,target_path,data_layer,source_document,source_location_type,source_unit,target_unit,criticality,extraction_method,target_nodes,missing_policy,conflict_policy,evidence_required,value_type,cardinality,contract_sources,node_requirement,default_or_prior,mapping_coverage,extraction_coverage,assembly_coverage,coverage_gap,notes
engineering_indicators.observations_by_archetype,按原型工程指标观测,engineering_indicators.observations_by_archetype,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,object,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL,NONE,NOT_MAPPED,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,DETERMINISTIC_MAPPING_GAP|EXTRACTION_SCHEMA_GAP|REVIEW_ASSEMBLY_GAP,
engineering_indicators.observations_by_segment,逐段工程指标观测,engineering_indicators.observations_by_segment,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,object,OPTIONAL_ONE,NODE_RUNTIME_REVIEW,OPTIONAL,NONE,NOT_MAPPED,FIELD_DICTIONARY_GAP,REVIEW_ASSEMBLY_GAP,DETERMINISTIC_MAPPING_GAP|EXTRACTION_SCHEMA_GAP|REVIEW_ASSEMBLY_GAP,
engineering_indicator.construction.backfill_type,回填材料类型,engineering_indicators.observations_by_segment.*.construction.backfill_type,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.backfill_type；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.casing_condition,套管状态,engineering_indicators.observations_by_segment.*.construction.casing_condition,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.casing_condition；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.casing_count_per_km,套管密度,engineering_indicators.observations_by_segment.*.construction.casing_count_per_km,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,1/km,1/km,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.casing_count_per_km；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.cold_bend_radius_ratio,冷弯管弯曲半径比,engineering_indicators.observations_by_segment.*.construction.cold_bend_radius_ratio,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.cold_bend_radius_ratio；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.concrete_slab_coverage_fraction,盖板保护覆盖率,engineering_indicators.observations_by_segment.*.construction.concrete_slab_coverage_fraction,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,%,fraction,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.concrete_slab_coverage_fraction；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.construction_contractor,施工单位,engineering_indicators.observations_by_segment.*.construction.construction_contractor,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.construction_contractor；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.construction_nonconformity_count,施工不符合项数量,engineering_indicators.observations_by_segment.*.construction.construction_nonconformity_count,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,count,count,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.construction_nonconformity_count；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.field_bend_count_per_km,现场弯管密度,engineering_indicators.observations_by_segment.*.construction.field_bend_count_per_km,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,1/km,1/km,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.field_bend_count_per_km；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.girth_weld_count_per_km,环焊缝密度,engineering_indicators.observations_by_segment.*.construction.girth_weld_count_per_km,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,1/km,1/km,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.girth_weld_count_per_km；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.rock_shield_present,石方段保护层,engineering_indicators.observations_by_segment.*.construction.rock_shield_present,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.rock_shield_present；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.supervision_contractor,监理单位,engineering_indicators.observations_by_segment.*.construction.supervision_contractor,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.supervision_contractor；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.weld_ndt_coverage_fraction,焊缝无损检测覆盖率,engineering_indicators.observations_by_segment.*.construction.weld_ndt_coverage_fraction,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,%,fraction,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.weld_ndt_coverage_fraction；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.weld_reject_rate_fraction,焊口返修率,engineering_indicators.observations_by_segment.*.construction.weld_reject_rate_fraction,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,%,fraction,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.weld_reject_rate_fraction；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.construction.welding_process,焊接工艺,engineering_indicators.observations_by_segment.*.construction.welding_process,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标construction.welding_process；组：施工、焊接与防护设施；要求：CONDITIONAL。
engineering_indicator.external_corrosion.ac_interference_voltage_v,交流干扰电压,engineering_indicators.observations_by_segment.*.external_corrosion.ac_interference_voltage_v,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,V,V,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.ac_interference_voltage_v；组：外腐蚀与阴极保护；要求：CONDITIONAL。
engineering_indicator.external_corrosion.coating_condition_index,防腐层状态指数,engineering_indicators.observations_by_segment.*.external_corrosion.coating_condition_index,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.coating_condition_index；组：外腐蚀与阴极保护；要求：CONDITIONAL。
engineering_indicator.external_corrosion.coating_defect_density_per_km,防腐层缺陷密度,engineering_indicators.observations_by_segment.*.external_corrosion.coating_defect_density_per_km,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,1/km,1/km,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.coating_defect_density_per_km；组：外腐蚀与阴极保护；要求：CONDITIONAL。
engineering_indicator.external_corrosion.coating_installation_year,防腐层安装年份,engineering_indicators.observations_by_segment.*.external_corrosion.coating_installation_year,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,year,year,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.coating_installation_year；组：外腐蚀与阴极保护；要求：CONDITIONAL。
engineering_indicator.external_corrosion.coating_type,外防腐层类型,engineering_indicators.observations_by_segment.*.external_corrosion.coating_type,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.coating_type；组：外腐蚀与阴极保护；要求：REQUIRED。
engineering_indicator.external_corrosion.cp_off_potential_v,断电电位,engineering_indicators.observations_by_segment.*.external_corrosion.cp_off_potential_v,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,V,V,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标external_corrosion.cp_off_potential_v；组：外腐蚀与阴极保护；要求：REQUIRED。
